PID,Archive ID,Letter Number,Archive URL,iFrame
p00yh7j3,109542,2272,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=109542,http://www.bu.edu/dbin/archives/content/holdings/LFA2272/HTML 
b0089kdd,248608,202,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=248608,http://www.bu.edu/dbin/archives/digital_objects/LFA%20202/HTML/ 
p00yqqwm,248610,1517,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=248610,http://www.bu.edu/dbin/archives/content/holdings/LFA1517/HTML 
p00ydtg7,248611,2096,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=248611,http://www.bu.edu/dbin/archives/Cooke/LFA%202096/HTML/
p00yh7mn,248612,2266,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=248612,http://www.bu.edu/dbin/archives/content/holdings/LFA2266/HTML 
p00yh7ff,248613,2279,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=248613,http://www.bu.edu/dbin/archives/content/holdings/LFA2279/HTML 
p00yh7d9,248614,2287,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=248614,http://www.bu.edu/dbin/archives/content/holdings/LFA2287/HTML 
p00ylf0m,248615,2337,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=248615,http://www.bu.edu/dbin/archives/content/holdings/LFA2337/HTML 
p00yldzm,248616,2341,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=248616,http://www.bu.edu/dbin/archives/content/holdings/LFA2341/HTML 
p00yljgh,248617,2392,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=248617,http://www.bu.edu/dbin/archives/content/holdings/LFA2392/HTML 
p00yktjj,248618,2430,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=248618,http://www.bu.edu/dbin/archives/content/holdings/LFA2430/HTML
b008czxp,248620,2464,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=248620,http://www.bu.edu/dbin/archives/content/holdings/LFA2464/HTML
p00yjvj3,248621,2490,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=248621,http://www.bu.edu/dbin/archives/content/holdings/LFA2490/HTML
p00yj9j0,248622,2523,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=248622,http://www.bu.edu/dbin/archives/content/holdings/LFA2523/HTML
p00yj9wb,248623,2546,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=248623,http://www.bu.edu/dbin/archives/content/holdings/LFA2546/HTML
p00yjfyt,248624,2563,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=248624,http://www.bu.edu/dbin/archives/content/holdings/LFA2563/HTML
p00symxc,248625,2605,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=248625,http://www.bu.edu/dbin/archives/content/holdings/LFA2605/HTML
p00sym0r,248626,2653,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=248626,http://www.bu.edu/dbin/archives/content/holdings/LFA2653/HTML
p00szry7,248627,2700,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=248627,http://www.bu.edu/dbin/archives/content/holdings/LFA2700/HTML
p00yh873,249615,2238,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=249615,http://www.bu.edu/dbin/archives/content/holdings/LFA2238/HTML 
p00yh86q,249619,2239,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=249619,http://www.bu.edu/dbin/archives/content/holdings/LFA2239/HTML 
p00yh84q,249623,2240,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=249623,http://www.bu.edu/dbin/archives/content/holdings/LFA2240/HTML 
p00yh83q,249636,2241,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=249636,http://www.bu.edu/dbin/archives/content/holdings/LFA2241/HTML 
p00yh7zb,249637,2250,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=249637,http://www.bu.edu/dbin/archives/content/holdings/LFA2250/HTML 
p00yh82v,249640,2242,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=249640,http://www.bu.edu/dbin/archives/content/holdings/LFA2242/HTML 
p00yh821,249646,2243,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=249646,http://www.bu.edu/dbin/archives/content/holdings/LFA2243/HTML 
p00yh81h,249650,2244,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=249650,http://www.bu.edu/dbin/archives/content/holdings/LFA2244/HTML 
p00yh80h,249654,2245,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=249654,http://www.bu.edu/dbin/archives/content/holdings/LFA2245/HTML 
p00yh809,249660,2246,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=249660,http://www.bu.edu/dbin/archives/content/holdings/LFA2246/HTML 
p00yh801,249666,2247,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=249666,http://www.bu.edu/dbin/archives/content/holdings/LFA2247/HTML 
p00yh7yk,249671,2251,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=249671,http://www.bu.edu/dbin/archives/content/holdings/LFA2251/HTML 
p00yh7xn,249676,2252,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=249676,http://www.bu.edu/dbin/archives/content/holdings/LFA2252/HTML 
p00yh7vc,249680,2253,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=249680,http://www.bu.edu/dbin/archives/content/holdings/LFA2253/HTML 
p00yh7tt,249686,2254,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=249686,http://www.bu.edu/dbin/archives/content/holdings/LFA2254/HTML 
p00yh8b1,249690,2255,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=249690,http://www.bu.edu/dbin/archives/content/holdings/LFA2255/HTML 
p00yh7t2,249694,2256,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=249694,http://www.bu.edu/dbin/archives/content/holdings/LFA2256/HTML 
p00yh7qz,249697,2257,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=249697,http://www.bu.edu/dbin/archives/content/holdings/LFA2257/HTML 
p00yh7q9,262861,2258,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=262861,http://www.bu.edu/dbin/archives/content/holdings/LFA2258/HTML 
p00yh7pp,262866,2259,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=262866,http://www.bu.edu/dbin/archives/content/holdings/LFA2259/HTML 
