Archive ID for URL,Letter Number for another URL
109542,LFA2272
248608,LFA%20202
248610,LFA1517
248611,LFA%202096
248612,LFA2266
248613,LFA2279
248614,LFA2287
248615,LFA2337
248616,LFA2341
248617,LFA2392
248618,LFA2430
248620,LFA2464
248621,LFA2490
248622,LFA2523
248623,LFA2546
248624,LFA2563
248625,LFA2605
248626,LFA2653
248627,LFA2700
249615,LFA2238
249619,LFA2239
249623,LFA2240
249636,LFA2241
249637,LFA2250
249640,LFA2242
249646,LFA2243
249650,LFA2244
249654,LFA2245
249660,LFA2246
249666,LFA2247
249671,LFA2251
249676,LFA2252
249680,LFA2253
249686,LFA2254
249690,LFA2255
249694,LFA2256
249697,LFA2257
262861,LFA2258
262866,LFA2259
262870,LFA2260
262875,LFA2261
262881,LFA2262
262886,LFA2263
262897,LFA2264
262906,LFA2265
262913,LFA2267
263168,LFA2339
277981,LFA2268
277989,LFA2270
277993,LFA2273
277996,LFA2274
278002,LFA2290
278007,LFA2291
278011,LFA2292
278014,LFA2293
278017,LFA2294
278020,LFA2295
278025,LFA2296
283834,LFA%202301
283839,LFA2303
283844,LFA2304
283849,LFA2305
283855,LFA2306
283862,LFA2307
283865,LFA2308
283868,LFA2309
283873,LFA2310
283879,LFA2311
286910,LFA2322
287310,LFA2323
287315,LFA2324
287320,LFA2325
287327,LFA2326
287330,LFA2327
287340,LFA2328
287357,LFA2329
287375,LFA2331
287392,LFA2332
287845,LFA2343
287848,LFA2344
287852,LFA2345
287861,LFA2346
287867,LFA2347
287874,LFA2348
287878,LFA2349
287881,LFA2350
287886,LFA2351
287889,LFA2352
287892,LFA2333
287897,LFA2334
287901,LFA2335
306141,LFA2336
306147,LFA2338
306151,LFA2340
306164,LFA2342
306870,LFA2353
306874,LFA2354
306879,LFA2355
306884,LFA2357
306887,LFA2358
306891,LFA2359
306894,LFA2360
306900,LFA2361
306907,LFA2362
306911,LFA2363
306920,LFA2364
306923,LFA2365
306927,LFA2366
306931,LFA2367
306936,LFA2368
306940,LFA2369
306945,LFA2370
306949,LFA2371
306960,LFA2372
306965,LFA2373
307031,LFA2374
307037,LFA2375
326788,LFA2376
326810,LFA2377
326838,LFA2378
326842,LFA2379
327354,LFA2380
327377,LFA2381
327482,LFA2383
327486,LFA2384
327489,LFA2385
327493,LFA2386
329769,LFA2387
330678,LFA2388
330683,LFA2389
330685,LFA2390
330691,LFA2391
330698,LFA2393
330699,LFA2394
330704,LFA2395
332467,LFA2396
334413,LFA2397
334426,LFA2398
334441,LFA2399
334448,LFA2400
334458,LFA2401
334470,LFA2402
334477,LFA2403
334493,LFA2404
334613,LFA2405
334619,LFA2406
334623,LFA2407
334626,LFA2408
334732,LFA2409
334736,LFA2410
334743,LFA2411
334753,LFA2412
334763,LFA2413
334769,LFA2414
334806,LFA2415
334809,LFA2416
334812,LFA2417
334818,LFA2418
334848,LFA2419
334871,LFA2420
334874,LFA2421
334882,LFA2422
334891,LFA2423
334894,LFA2424
334948,LFA2425
334953,LFA2426
334968,LFA2427
334972,LFA2428
334973,LFA2429
335023,LFA2431
335031,LFA2432
335036,LFA2433
335041,LFA2434
368664,LFA338
371344,LFA500
371360,LFA1169
371363,LFA1179
371366,LFA1198
371370,LFA1239
371419,LFA1250
371422,LFA1264
371425,LFA1267
371428,LFA1280
371431,LFA1289
371442,LFA1317
371493,LFA1321
371497,LFA1340
371500,LFA1370
371529,LFA1379
371758,LFA1406
371761,LFA1414
371765,LFA1506
371768,LFA1524
371771,LFA1584
566729,LFA1011
566732,LFA706
566735,LFA794
566742,LFA%201360
566745,LFA%201362
566748,LFA%201560
566751,LFA1561
566755,LFA1562
566758,LFA1563
566761,LFA1565
566764,LFA1566
566767,LFA1567
566770,LFA1568
566773,LFA1569
566777,LFA1570
566780,LFA1574
566784,LFA1575
566787,LFA1576
566790,LFA1577
566793,LFA1578
566796,LFA1579
566799,LFA1580
566802,LFA1581
566805,LFA1582
566809,LFA1583
566812,LFA1586
566815,LFA1587
566819,LFA1588
566824,LFA1589
566831,LFA1590
566834,LFA1591
566837,LFA1593
566840,LFA1594
566843,LFA1595
566844,LFA1596
566847,LFA1598
566850,LFA1600
566853,LFA1602
566857,LFA1603
566860,LFA1604
566863,LFA1605
566866,LFA1606
566870,LFA1607
566874,LFA1608
566877,LFA1609
566880,LFA1610
566883,LFA1611
566886,LFA1645
566890,LFA1646
566893,LFA1648
566898,LFA1650
566901,LFA1651
566904,LFA1652
566907,LFA1653
566910,LFA1657
566913,LFA1658
566916,LFA1659
566919,LFA1660
566923,LFA1661
566926,LFA1662
566930,LFA1663
566933,LFA1664
566936,LFA1665
566939,LFA1666
566942,LFA1668
566949,LFA1669
566952,LFA1671
566955,LFA1672
566958,LFA1673
566961,LFA1676
566964,LFA1678
566967,LFA1679
566971,LFA1680
566974,LFA1681
566977,LFA1682
566980,LFA1684
566984,LFA1685
566987,LFA1686
566991,LFA1687
566997,LFA1690
567000,LFA1692
567003,LFA1693
567006,LFA1694
567009,LFA1695
567012,LFA1696
567015,LFA1697
567018,LFA1698
567021,LFA1700
567024,LFA1701
567026,LFA1702
567028,LFA1703
567031,LFA1707
567034,LFA1708
567037,LFA1710
567040,LFA1711
567043,LFA1712
567046,LFA1714
567051,LFA1715
567054,LFA1718
567057,LFA1721
567060,LFA1723
567063,LFA1724
567067,LFA1726
567070,LFA1728
567073,LFA1729
567076,LFA1731
567079,LFA1732
567084,LFA1733
567087,LFA1734
567090,LFA1736
567093,LFA1737
567096,LFA1738
567099,LFA1740
567102,LFA1742
567105,LFA1745
567109,LFA1748
567112,LFA1750
567115,LFA1751
567118,LFA1752
567121,LFA1754
567124,LFA1755
567127,LFA1758
567130,LFA1759
567133,LFA1760
567136,LFA1761
567139,LFA1762
567142,LFA1763
567145,LFA1764
567148,LFA1765
567151,LFA1767
567154,LFA1768
567157,LFA1769
